group,n,actual_default_rate,selection_rate (predicted default %),accuracy,AUC,FPR (false alarm on good customers),FNR (missed actual defaulters),TPR (recall on defaulters)
Female,3598,0.21289605336297943,0.17370761534185658,0.802390216787104,0.7528098770485758,0.10063559322033898,0.556135770234987,0.44386422976501305
Male,2402,0.23355537052456288,0.3164029975020816,0.728143213988343,0.7361979703737699,0.2313959804454101,0.40463458110516937,0.5953654188948306
