group,n,actual_default_rate,selection_rate (predicted default %),accuracy,AUC,FPR (false alarm on good customers),FNR (missed actual defaulters),TPR (recall on defaulters)
Grad School,2130,0.19014084507042253,0.2267605633802817,0.7830985915492957,0.7555362318840579,0.1565217391304348,0.4740740740740741,0.5259259259259259
High School,1014,0.257396449704142,0.1804733727810651,0.7692307692307693,0.7128014124854352,0.10358565737051793,0.5977011494252874,0.40229885057471265
Other,82,0.06097560975609756,0.012195121951219513,0.926829268292683,0.5922077922077922,0.012987012987012988,1.0,0.0
University,2774,0.23648161499639508,0.2588320115356885,0.7613554434030281,0.7540722379603398,0.17091595845136923,0.4573170731707317,0.5426829268292683
